aX,aY,aZ,gX,gY,gZ
0.189,-0.986,1.316,-50.964,-92.102,-59.631
0.203,-0.818,1.318,-55.359,-75.867,-36.377
0.202,-0.789,1.300,-51.331,-60.181,-15.198
0.204,-0.772,1.286,-50.842,-54.565,-9.216
0.214,-0.706,1.295,-50.049,-44.556,-7.019
0.215,-0.689,1.268,-42.480,-30.762,-12.695
0.218,-0.682,1.235,-34.607,-15.991,-9.949
0.241,-0.693,1.166,-31.738,-10.132,-6.592
0.249,-0.704,1.134,-30.396,-5.676,-2.869
0.260,-0.670,1.070,-33.875,-0.183,4.150
0.254,-0.622,1.043,-37.659,1.648,8.179
0.246,-0.574,1.003,-30.579,5.554,12.878
0.223,-0.526,0.939,-23.193,5.127,12.756
0.211,-0.517,0.919,-16.785,1.953,15.503
0.164,-0.493,0.897,-14.282,0.183,18.311
0.133,-0.468,0.918,-6.409,-0.488,14.465
0.084,-0.453,0.966,-4.028,-0.427,9.155
0.077,-0.461,0.969,-0.488,0.610,1.770
0.085,-0.458,0.938,2.991,3.357,2.319
0.090,-0.444,0.914,9.033,9.216,6.348
0.108,-0.437,0.877,9.705,10.254,6.226
0.123,-0.449,0.849,8.606,9.766,5.127
0.135,-0.457,0.822,8.728,7.141,4.517
0.139,-0.433,0.787,10.071,6.165,4.944
0.137,-0.432,0.780,7.874,2.258,4.944
0.130,-0.440,0.792,6.531,-0.183,3.662
0.127,-0.444,0.806,7.874,-2.380,2.502
0.121,-0.468,0.830,8.972,-3.052,1.892
0.117,-0.486,0.849,7.751,-6.409,0.122
0.098,-0.492,0.890,4.700,-8.118,-0.732
0.095,-0.487,0.912,1.465,-8.179,-1.038
0.109,-0.498,0.895,3.357,-4.639,0.732
0.113,-0.504,0.887,3.479,-5.188,2.197
0.108,-0.500,0.899,-2.319,-9.277,4.456
0.108,-0.476,0.935,-4.761,-8.606,5.249
0.117,-0.466,0.933,1.648,-1.282,8.606
0.147,-0.457,0.898,8.423,2.686,9.460
0.164,-0.461,0.872,18.677,6.470,7.935
0.187,-0.489,0.811,12.146,0.977,3.540
0.175,-0.487,0.854,-20.081,-16.296,-5.737
0.155,-0.475,0.929,-22.339,-16.235,-6.104
0.153,-0.497,0.925,-4.700,-6.714,0.427
0.142,-0.523,0.900,-2.258,-4.028,2.625
0.133,-0.507,0.903,-6.165,-2.991,3.174
0.125,-0.483,0.922,-15.625,-2.441,0.916
0.123,-0.480,0.917,-17.700,-3.479,-2.197
0.121,-0.478,0.913,-16.235,-7.874,-4.028
0.125,-0.476,0.914,-7.874,-7.507,-0.977
0.122,-0.484,0.913,12.817,-2.747,8.545
0.110,-0.474,0.880,17.761,-0.610,11.414
0.108,-0.456,0.871,10.071,0.061,10.742
0.099,-0.426,0.887,2.869,-0.977,7.385
0.094,-0.423,0.894,-4.333,0.000,1.221
0.105,-0.461,0.875,-3.357,1.709,0.793
0.110,-0.476,0.862,-1.343,2.197,3.052
0.109,-0.474,0.866,-2.014,0.671,3.479
0.104,-0.474,0.878,-1.221,-0.549,2.563
0.113,-0.496,0.883,3.540,0.366,-0.427
0.116,-0.503,0.875,4.395,1.038,0.549
0.117,-0.494,0.866,3.418,1.648,3.174
0.123,-0.474,0.848,2.502,1.282,3.357
0.128,-0.474,0.837,-0.305,-1.465,2.869
0.118,-0.464,0.863,-2.258,-2.747,2.197
0.115,-0.458,0.877,0.366,-1.282,2.136
0.127,-0.466,0.858,3.418,-0.122,2.136
0.134,-0.483,0.846,3.540,-4.822,0.061
0.121,-0.496,0.874,0.000,-8.728,-1.526
0.111,-0.491,0.904,-0.488,-8.972,-1.099
0.103,-0.490,0.932,2.686,-5.188,0.427
0.103,-0.483,0.922,2.991,-1.160,1.892
0.110,-0.475,0.894,-0.366,2.991,2.258
0.140,-0.476,0.846,-2.747,1.343,2.014
0.137,-0.473,0.859,-5.432,-4.822,-1.221
0.122,-0.466,0.895,-4.089,-5.554,-2.441
0.122,-0.473,0.888,-2.441,-3.662,0.000
0.119,-0.481,0.884,-3.601,-3.052,2.563
0.114,-0.477,0.896,-2.258,-1.343,4.883
0.112,-0.479,0.907,0.732,-0.305,4.883
0.111,-0.473,0.905,3.479,-0.610,2.014
0.109,-0.452,0.909,1.343,-0.977,0.549
0.111,-0.450,0.901,0.549,0.061,-0.122
0.116,-0.469,0.883,2.380,-0.122,0.000
0.113,-0.480,0.892,2.747,-0.977,0.305
0.105,-0.488,0.913,-1.953,-1.892,1.038
0.105,-0.491,0.914,-2.563,-1.221,0.671
0.107,-0.492,0.913,2.258,1.526,-0.305
0.112,-0.491,0.885,6.775,3.174,0.122
0.113,-0.485,0.865,3.845,3.723,1.526
0.123,-0.477,0.857,-2.075,2.136,1.160
0.126,-0.482,0.860,-5.127,-1.404,-0.366
0.125,-0.479,0.873,-2.747,-2.258,0.061
0.122,-0.471,0.872,4.089,-1.770,1.343
0.117,-0.476,0.867,4.761,-2.014,1.709
0.111,-0.477,0.877,1.770,-3.906,1.404
0.100,-0.468,0.904,2.258,-3.418,0.916
0.096,-0.464,0.905,4.578,-1.770,0.549
0.103,-0.466,0.889,4.944,1.404,0.000
0.112,-0.475,0.885,1.282,1.404,-0.305
0.118,-0.484,0.879,-4.272,-0.610,-0.854
0.119,-0.494,0.879,-4.272,-1.709,-1.160
0.118,-0.490,0.881,0.793,-2.380,-0.549
0.115,-0.480,0.882,2.258,-1.892,0.427
0.114,-0.477,0.877,0.732,-0.549,1.343
0.117,-0.474,0.874,-0.183,-0.244,0.916
0.118,-0.476,0.875,0.366,-0.427,-0.244
0.118,-0.486,0.876,-0.977,-1.221,-0.366
0.113,-0.490,0.886,-3.845,-3.418,-0.488
0.103,-0.489,0.901,-0.977,-2.808,-0.366
0.104,-0.487,0.898,3.052,0.732,0.061
0.116,-0.494,0.885,0.916,1.282,0.000
0.116,-0.490,0.886,-2.014,0.427,0.000
0.105,-0.480,0.901,-1.160,0.000,0.916
0.103,-0.483,0.903,3.662,1.221,0.793
0.109,-0.488,0.892,12.085,2.136,-0.549
0.128,-0.497,0.842,11.108,0.488,0.061
0.126,-0.497,0.855,-3.113,-3.967,3.479
0.112,-0.486,0.895,-6.104,-4.028,4.028
0.106,-0.481,0.893,-4.883,-2.625,2.197
0.098,-0.470,0.882,-5.432,-2.258,0.732

-0.154,-0.825,1.683,-19.897,99.731,66.650
-0.187,-0.841,1.697,-33.813,127.808,71.838
-0.207,-0.767,1.620,-40.222,144.104,76.477
-0.194,-0.675,1.515,-42.786,175.781,87.036
-0.149,-0.539,1.284,-41.260,187.195,89.905
-0.151,-0.516,1.220,-45.105,200.745,91.736
-0.173,-0.419,1.148,-51.147,207.275,91.675
-0.163,-0.352,1.080,-53.589,226.868,93.323
-0.110,-0.264,0.827,-47.058,237.488,94.727
-0.070,-0.238,0.700,-37.720,248.352,94.177
-0.014,-0.169,0.571,-36.743,249.939,93.140
-0.005,-0.142,0.524,-34.607,252.747,92.285
0.051,-0.145,0.380,-32.104,259.705,90.210
0.103,-0.150,0.292,-35.522,259.766,89.172
0.137,-0.132,0.215,-35.522,257.324,92.590
0.132,-0.043,0.177,-31.982,257.935,93.811
0.128,0.001,0.171,-28.992,263.123,91.431
0.162,0.032,0.044,-32.471,265.015,88.989
0.186,0.035,-0.047,-45.105,265.869,86.182
0.250,0.075,-0.243,-47.852,267.334,84.961
0.292,0.105,-0.341,-43.152,270.325,84.290
0.351,0.134,-0.504,-43.091,268.311,85.693
0.358,0.163,-0.566,-45.532,262.268,83.435
0.373,0.289,-0.635,-52.063,247.192,65.491
0.388,0.314,-0.691,-51.270,244.446,60.120
0.419,0.297,-0.768,-48.462,240.479,51.453
0.493,0.241,-0.910,-49.805,232.666,47.119
0.546,0.231,-0.964,-38.879,201.355,31.372
0.631,0.189,-0.971,-25.269,178.772,19.897
0.624,0.167,-0.892,-17.273,138.062,5.005
0.583,0.113,-0.728,-24.475,126.282,2.808
0.596,0.084,-0.719,-33.203,115.967,0.610
0.678,0.032,-0.805,-31.250,110.413,1.526
0.703,0.018,-0.795,-28.442,100.586,2.686
0.694,0.007,-0.645,-28.320,79.590,5.798
0.686,0.009,-0.616,-27.710,77.087,11.597
0.676,0.006,-0.614,-26.855,77.759,19.775
0.632,-0.028,-0.519,-29.480,76.538,19.043
0.599,-0.016,-0.470,-33.386,84.656,23.132
0.584,0.039,-0.539,-31.982,95.520,26.550
0.595,0.053,-0.644,-31.372,112.366,33.813
0.576,0.082,-0.886,-30.273,114.929,35.583
0.560,0.103,-0.990,-31.738,114.563,33.936
0.539,0.111,-1.201,-32.227,114.990,30.273
0.573,0.091,-1.324,-33.752,111.389,20.813
0.683,0.057,-1.578,-33.752,101.196,18.982
0.731,0.030,-1.632,-27.283,67.444,13.000
0.756,-0.076,-1.453,-22.339,48.889,9.460
0.709,-0.102,-1.294,-20.081,31.738,10.498
0.650,-0.098,-1.144,-25.940,7.019,20.203
0.573,-0.041,-0.904,-24.841,1.282,25.085
0.547,0.003,-0.826,-16.479,-4.089,31.067
0.481,0.072,-0.709,-11.658,-5.859,30.884
0.449,0.111,-0.672,-9.644,-3.113,26.978
0.419,0.193,-0.689,-13.123,2.869,22.217
0.430,0.197,-0.767,-14.160,16.724,8.240
0.496,0.118,-0.987,-11.841,18.799,3.235
0.531,0.081,-1.070,-8.179,6.470,-2.014
0.589,-0.014,-1.109,-7.202,-4.700,-2.441
0.608,-0.051,-1.119,-1.221,-24.231,5.310
0.583,-0.060,-1.106,5.981,-32.898,10.864
0.552,-0.037,-1.083,15.442,-46.448,13.489
0.563,0.052,-1.109,19.043,-50.354,12.268
0.586,0.073,-1.129,26.184,-54.932,12.085
0.559,0.072,-1.027,35.461,-71.899,13.855
0.551,0.074,-0.984,35.339,-78.369,13.611
0.574,0.070,-0.981,39.063,-83.374,6.958
0.624,0.044,-0.924,43.823,-87.402,1.648
0.622,0.036,-0.851,45.044,-97.046,-1.221
0.621,0.034,-0.741,42.175,-97.961,1.282
0.651,0.025,-0.749,45.593,-90.332,6.775
0.682,0.010,-0.815,50.293,-84.106,10.193
0.721,0.040,-0.918,58.716,-66.528,17.700
0.889,0.058,-1.231,67.200,-64.392,18.066
0.910,0.051,-1.279,67.932,-94.421,13.794
0.814,0.103,-1.104,56.580,-116.089,10.620
0.758,0.136,-0.988,46.509,-133.057,6.714
0.703,0.194,-0.826,37.659,-148.987,0.000
0.704,0.219,-0.771,41.138,-150.085,-1.282
0.706,0.233,-0.709,58.167,-150.024,1.770
0.683,0.277,-0.561,65.186,-151.489,3.967
0.669,0.310,-0.497,73.730,-152.527,6.409
0.637,0.392,-0.409,71.716,-150.146,4.333
0.639,0.405,-0.389,67.444,-141.785,-7.019
0.671,0.331,-0.406,69.580,-137.695,-14.832
0.696,0.264,-0.427,69.885,-137.329,-27.832
0.726,0.139,-0.402,69.336,-141.602,-28.870
0.708,0.136,-0.331,70.496,-147.095,-19.897
0.642,0.164,-0.148,72.266,-145.142,-18.372
0.620,0.178,-0.072,57.495,-135.803,-25.879
0.612,0.263,-0.021,46.875,-129.944,-30.884
0.639,0.297,-0.061,45.105,-124.634,-35.461
0.718,0.232,-0.188,71.106,-124.207,-37.170
0.716,0.183,-0.172,83.252,-130.249,-35.156
0.680,0.173,-0.092,76.721,-146.240,-36.133
0.597,0.157,0.107,72.327,-150.574,-40.100
0.569,0.127,0.212,62.988,-141.724,-52.368
0.528,0.133,0.360,49.805,-130.432,-57.983
0.518,0.178,0.398,17.639,-105.164,-72.144
0.608,0.233,0.249,16.541,-96.069,-76.355
0.646,0.198,0.146,47.424,-98.816,-73.914
0.691,0.043,0.089,64.514,-105.408,-73.303
0.684,-0.011,0.139,78.552,-120.544,-67.749
