aX,aY,aZ,gX,gY,gZ
2.744,0.049,-0.478,109.924,87.646,18.738
3.022,0.440,-1.452,135.986,48.157,15.442
2.798,0.512,-1.331,103.516,-99.670,-42.114
1.667,0.721,-0.200,77.393,-167.297,-80.444
0.445,-0.019,0.694,30.823,-210.693,-150.940
0.143,-1.164,0.782,9.399,-193.359,-127.930
-0.532,-1.810,0.840,27.771,-181.763,-40.405
-1.009,-1.193,0.632,110.901,-158.142,79.773
-1.539,-0.967,1.130,97.534,-186.218,75.989
-1.655,-0.856,1.467,-17.761,-218.445,57.922
-1.613,-0.528,1.959,-33.264,-192.139,59.082
-1.509,-0.556,1.710,14.832,-84.351,86.792
-1.536,0.199,1.341,40.161,-53.650,98.999
-1.443,0.362,1.512,42.847,-16.479,56.458
-0.955,0.017,1.502,28.992,8.362,24.109
-0.623,-0.238,1.287,19.226,56.458,-14.343
-0.093,-0.530,0.720,23.010,70.862,-20.142
0.062,-0.637,0.517,16.968,61.768,-18.433
0.159,-0.633,0.535,6.836,46.143,-14.099
0.192,-0.545,0.568,-1.221,35.889,-9.583
0.260,-0.434,0.527,1.709,33.508,-4.333
0.405,-0.413,0.348,10.559,30.579,-5.676
0.440,-0.437,0.419,18.250,5.737,-10.498
0.514,-0.688,0.737,13.672,-5.005,-11.536
0.526,-0.792,0.850,3.113,-12.024,3.906
0.425,-0.653,0.938,-0.183,-11.658,15.625
0.347,-0.480,0.951,-3.723,-12.878,21.912
0.258,-0.314,0.950,-3.174,-12.573,17.944
0.230,-0.283,0.991,-1.038,-10.010,10.010
0.240,-0.353,1.031,-0.793,-5.676,6.409
0.281,-0.418,0.987,3.723,3.723,5.615
0.343,-0.487,0.860,6.226,3.662,7.751
0.330,-0.460,0.901,5.798,-1.160,10.498
0.300,-0.413,0.978,-1.953,-7.996,10.925
0.241,-0.401,1.036,-4.883,-6.775,8.911
0.213,-0.386,1.051,-7.019,-2.014,6.897
0.199,-0.317,1.024,-6.775,1.404,6.104
0.213,-0.298,0.994,-3.662,9.033,3.052
0.261,-0.319,0.917,-0.427,11.230,1.160
0.288,-0.342,0.930,3.540,10.193,-2.686
0.318,-0.426,0.920,2.258,11.047,-4.150
0.322,-0.465,0.866,0.916,10.071,-1.343
0.308,-0.380,0.907,2.991,8.057,1.526
0.307,-0.360,0.896,4.395,9.216,2.014
0.310,-0.376,0.847,-0.671,7.812,-0.854
0.320,-0.392,0.875,-2.808,4.395,-0.977
0.317,-0.379,0.860,-1.709,5.432,0.488
0.293,-0.378,0.852,-1.587,5.310,0.671
0.273,-0.364,0.872,-1.099,5.249,0.549
0.259,-0.349,0.879,0.427,7.019,0.061
0.252,-0.338,0.872,2.197,8.057,-1.709
0.260,-0.373,0.891,1.892,8.362,-3.235
0.278,-0.401,0.894,0.244,10.376,-4.395
0.343,-0.472,0.812,-0.671,11.108,-4.395
0.359,-0.473,0.796,-1.648,8.667,-2.563
0.337,-0.420,0.853,-4.883,1.343,2.869
0.325,-0.411,0.866,-5.737,0.549,3.967
0.317,-0.379,0.882,-1.648,3.052,5.188
0.320,-0.376,0.858,1.160,5.615,3.967
0.318,-0.387,0.854,1.221,5.371,1.343
0.301,-0.406,0.876,-0.671,3.723,0.488
0.298,-0.407,0.889,-3.479,1.587,-1.221
0.329,-0.478,0.883,-3.784,1.892,-0.854
0.331,-0.477,0.891,-1.465,2.197,5.798
0.311,-0.433,0.914,-0.122,3.418,8.240
0.298,-0.379,0.886,0.488,4.883,9.277
0.298,-0.343,0.863,0.488,3.662,4.333
0.297,-0.344,0.835,-0.244,3.296,1.587
0.292,-0.336,0.834,-2.930,0.610,-1.343
0.302,-0.378,0.867,-3.906,0.610,-2.502
0.309,-0.391,0.857,-1.526,2.930,-1.099
0.311,-0.379,0.859,-0.244,2.747,-0.610
0.312,-0.376,0.861,-3.357,-0.427,-2.197
0.327,-0.399,0.893,-3.601,-0.671,-2.502
0.335,-0.401,0.873,0.366,3.174,-0.977
0.332,-0.395,0.840,0.793,3.296,-0.610
0.323,-0.384,0.843,-2.380,0.610,-0.671
0.313,-0.381,0.870,-3.235,-0.427,-1.099
0.311,-0.382,0.875,-3.052,-0.671,-1.465
0.313,-0.399,0.880,-3.357,-1.038,-1.648
0.313,-0.408,0.878,-3.784,-0.793,-0.732
0.309,-0.384,0.901,-3.174,-0.488,2.625
0.307,-0.365,0.906,-3.418,0.977,1.831
0.313,-0.376,0.903,-4.211,1.099,-1.526
0.337,-0.423,0.909,-4.944,0.732,-2.869
0.346,-0.429,0.892,-5.798,1.221,-1.709
0.339,-0.398,0.865,-5.066,0.793,-0.244
0.332,-0.382,0.867,-1.831,0.977,1.404
0.320,-0.368,0.840,-1.526,1.404,0.916
0.318,-0.386,0.845,-1.831,-1.648,-0.793
0.311,-0.391,0.889,-0.732,-1.953,-0.366
0.304,-0.368,0.917,0.732,-0.183,-0.793
0.306,-0.384,0.898,0.000,1.404,-2.380
0.313,-0.406,0.885,-1.343,1.404,-3.601
0.328,-0.443,0.890,-3.845,-0.549,-3.113
0.323,-0.405,0.895,-4.150,-0.610,-0.671
0.322,-0.370,0.892,-3.479,1.648,0.610
0.326,-0.360,0.835,-3.052,2.441,0.244
0.312,-0.342,0.846,-1.709,0.061,-0.854
0.310,-0.373,0.886,-1.160,-0.366,-3.113
0.332,-0.431,0.878,1.953,1.282,-2.808
0.333,-0.401,0.866,3.357,1.282,0.183
0.320,-0.376,0.873,0.488,-0.977,0.671
0.308,-0.385,0.903,-1.831,-2.197,-0.549
0.309,-0.416,0.909,-4.333,-2.014,0.427
0.301,-0.381,0.922,-4.028,-1.587,2.380
0.302,-0.349,0.915,-1.343,2.197,1.648
0.329,-0.366,0.859,-1.709,2.625,-0.366
0.335,-0.383,0.861,-2.258,1.709,-1.221
