"Stockholm","Stockholms kommun","1611776","41621"
"Göteborg","Göteborgs kommun","604829","23386"
"Malmö","Malmö kommun","324002","7705"
"Uppsala","Uppsala kommun","165456","4301"
"Upplands Väsby och Sollentuna","Sollentuna kommun","149461","4687"
"Västerås","Västerås kommun","128534","4993"
"Örebro","Örebro kommun","126009","5139"
"Linköping","Linköpings kommun","115672","3841"
"Helsingborg","Helsingborgs kommun","113816","4103"
"Jönköping","Jönköpings kommun","100259","4783"
"Norrköping","Norrköpings kommun","97854","3689"
"Lund","Lunds kommun","94393","2652"
"Umeå","Umeå kommun","90412","3180"
"Gävle","Gävle kommun","77586","4059"
"Södertälje","Södertälje kommun","75773","2851"
"Borås","Borås kommun","73980","2893"
"Halmstad","Halmstads kommun","71316","3668"
"Växjö","Växjö kommun","71009","3618"
"Eskilstuna","Eskilstuna kommun","70342","2992"
"Karlstad","Karlstads kommun","65856","2833"
"Sundsvall","Sundsvalls kommun","58807","4095"
"Östersund","Östersunds kommun","52797","3559"
"Trollhättan","Trollhättans kommun","50374","2601"
"Luleå","Luleå kommun","49123","2856"
"Nordöstra Göteborg","Göteborgs kommun","47211","1085"
"Lidingö","Lidingö kommun","44091","1680"
"Borlänge","Borlänge kommun","43202","3165"
"Tumba","Botkyrka kommun","42873","1951"
"Kalmar","Kalmar kommun","41388","1998"
"Kristianstad","Kristianstads kommun","41299","2159"
"Skövde","Skövde kommun","39543","2312"
"Falun","Falu kommun","38749","2526"
"Karlskrona","Karlskrona kommun","36904","2121"
"Skellefteå","Skellefteå kommun","36395","2460"
"Varberg","Varbergs kommun","36019","2461"
"Uddevalla","Uddevalla kommun","35916","1964"
"Åkersberga","Österåkers kommun","35725","2531"
"Nyköping","Nyköpings kommun","33916","1514"
"Landskrona","Landskrona kommun","33372","1295"
"Örnsköldsvik","Örnsköldsviks kommun","33346","3920"
"Vallentuna","Vallentuna kommun","33336","1756"
"Motala","Motala kommun","31340","2028"
"Trelleborg","Trelleborgs kommun","30760","1577"
"Märsta","Sigtuna kommun","29781","670"
"Ängelholm","Ängelholms kommun","28606","1971"
"Lerum","Lerums kommun","28491","2495"
"Falkenberg","Falkenbergs kommun","28357","2201"
"Alingsås","Alingsås kommun","27423","1410"
"Karlskoga","Karlskoga kommun","27386","2037"
"Sandviken","Sandvikens kommun","25344","1714"
"Enköping","Enköpings kommun","25021","1126"
"Visby","Region Gotland","24942","1380"
"Katrineholm","Katrineholms kommun","24447","1181"
"Gustavsberg","Värmdö kommun","24330","1417"
"Vänersborg","Vänersborgs kommun","24112","1166"
"Kungsbacka","Kungsbacka kommun","23830","1168"
"Lidköping","Lidköpings kommun","23554","1286"
"Piteå","Piteå kommun","23181","2298"
"Torslanda","Göteborgs kommun","22836","1723"
"Norrtälje","Norrtälje kommun","21917","1036"
"Västervik","Västerviks kommun","21428","1313"
"Karlshamn","Karlshamns kommun","20283","1597"
"Ystad","Ystads kommun","20133","1093"
"Kungälv","Kungälvs kommun","19890","1097"
"Eslöv","Eslövs kommun","19783","946"
"Värnamo","Värnamo kommun","19778","1194"
"Hässleholm","Hässleholms kommun","19435","1323"
"Västerhaninge","Haninge kommun","19100","1080"
"Oskarshamn","Oskarshamns kommun","18907","1485"
"Köping","Köpings kommun","18711","1007"
"Kristinehamn","Kristinehamns kommun","18597","1456"
"Härnösand","Härnösands kommun","18502","1142"
"Nässjö","Nässjö kommun","18472","1150"
"Mölnlycke","Härryda kommun","18392","1159"
"Falköping","Falköpings kommun","17858","916"
"Kumla","Kumla kommun","17253","1128"
"Boden","Bodens kommun","16817","1417"
"Hudiksvall","Hudiksvalls kommun","16570","1326"
"Mariestad","Mariestads kommun","16566","1176"
"Kiruna","Kiruna kommun","16420","898"
"Avesta","Avesta kommun","16278","1500"
"Staffanstorp","Staffanstorps kommun","16215","864"
"Ljungby","Ljungby kommun","16052","1238"
"Höganäs","Höganäs kommun","16001","1036"
"Höllviken","Vellinge kommun","15640","1312"
"Ludvika","Ludvika kommun","15612","1117"
"Kinna","Marks kommun","15448","1971"
"Bålsta","Håbo kommun","15294","1148"
"Nynäshamn","Nynäshamns kommun","15108","723"
"Tranås","Tranås kommun","14774","1019"
"Bunkeflostrand","Malmö kommun","14744","495"
"Strängnäs","Strängnäs kommun","14708","716"
"Skoghall","Hammarö kommun","14407","1199"
"Arvika","Arvika kommun","13950","1169"
"Mjölby","Mjölby kommun","13947","885"
"Bollnäs","Bollnäs kommun","13942","1287"
"Stenungsund","Stenungsunds kommun","13909","1226"
"Lomma","Lomma kommun","13772","593"
"Vetlanda","Vetlanda kommun","13674","1103"
"Sala","Sala kommun","13608","1038"
"Nybro","Nybro kommun","13583","1089"
"Oxie","Malmö kommun","13562","560"
"Finspång","Finspångs kommun","13261","788"
"Mora","Mora kommun","12826","1719"
"Höör","Höörs kommun","12802","1619"
"Ronneby","Ronneby kommun","12797","820"
"Svedala","Svedala kommun","12685","760"
"Kungsängen","Upplands-Bro kommun","12513","475"
"Onsala","Kungsbacka kommun","12415","1345"
"Ekerö","Ekerö kommun","12358","617"
"Söderhamn","Söderhamns kommun","12213","946"
"Fagersta","Fagersta kommun","11780","727"
"Jordbro","Haninge kommun","11617","488"
"Skara","Skara kommun","11558","834"
"Nödinge-Nol","Ale kommun","11476","863"
"Ulricehamn","Ulricehamns kommun","11399","747"
"Oxelösund","Oxelösunds kommun","11396","1128"
"Bjuv","Bjuvs kommun","10911","967"
"Älmhult","Älmhults kommun","10894","1000"
"Eksjö","Eksjö kommun","10864","822"
"Arboga","Arboga kommun","10800","714"
"Gällivare","Gällivare kommun","10584","861"
"Åstorp","Åstorps kommun","10556","777"
"Timrå","Timrå kommun","10494","991"
"Åhus","Kristianstads kommun","10412","1162"
"Gislaved","Gislaveds kommun","10269","693"
"Kävlinge","Kävlinge kommun","10026","486"
"Bjärred","Lomma kommun","9916","510"
"Hallstahammar","Hallstahammars kommun","9895","582"
"Sävja","Uppsala kommun","9814","389"
"Lindesberg","Lindesbergs kommun","9718","820"
"Bro","Upplands-Bro kommun","9482","445"
"Saltsjöbaden","Nacka kommun","9463","523"
"Torshälla","Eskilstuna kommun","9421","933"
"Sigtuna","Sigtuna kommun","9377","547"
"Åmål","Åmåls kommun","9265","744"
"Landvetter","Härryda kommun","9243","887"
"Säffle","Säffle kommun","9241","817"
"Alvesta","Alvesta kommun","9184","647"
"Hönö","Öckerö kommun","9124","612"
"Klippan","Klippans kommun","8874","547"
"Sölvesborg","Sölvesborgs kommun","8828","724"
"Bankeryd","Jönköpings kommun","8822","750"
"Lycksele","Lycksele kommun","8660","772"
"Tibro","Tibro kommun","8614","791"
"Skurup","Skurups kommun","8584","587"
"Sollefteå","Sollefteå kommun","8527","985"
"Habo","Habo kommun","8516","596"
"Hallsberg","Hallsbergs kommun","8482","976"
"Knivsta","Knivsta kommun","8440","423"
"Sjöbo","Sjöbo kommun","8418","765"
"Kalix","Kalix kommun","8393","895"
"Vimmerby","Vimmerby kommun","8182","738"
"Tidaholm","Tidaholms kommun","8146","617"
"Bromölla","Bromölla kommun","8092","632"
"Fisksätra","Nacka kommun","7943","101"
"Nykvarn","Nykvarns kommun","7819","572"
"Kil","Kils kommun","7796","795"
"Olofström","Olofströms kommun","7769","675"
"Osby","Osby kommun","7766","939"
"Lysekil","Lysekils kommun","7702","479"
"Hörby","Hörby kommun","7629","560"
"Hedemora","Hedemora kommun","7597","586"
"Söderköping","Söderköpings kommun","7539","507"
"Strömstad","Strömstads kommun","7466","456"
"Skanör med Falsterbo","Vellinge kommun","7452","586"
"Degerfors","Degerfors kommun","7281","735"
"Skutskär","Älvkarleby kommun","7259","971"
"Ljusdal","Ljusdals kommun","7209","729"
"Tomelilla","Tomelilla kommun","7171","644"
"Åby","Norrköpings kommun","7157","528"
"Trosa","Trosa kommun","7089","660"
"Åtvidaberg","Åtvidabergs kommun","6934","568"
"Laholm","Laholms kommun","6922","543"
"Kramfors","Kramfors kommun","6881","861"
"Vellinge","Vellinge kommun","6878","353"
"Simrishamn","Simrishamns kommun","6844","481"
"Dalby","Lunds kommun","6834","414"
"Ljungsbro","Linköpings kommun","6783","450"
"Gråbo","Lerums kommun","6765","557"
"Valbo","Gävle kommun","6765","666"
"Löddeköpinge","Kävlinge kommun","6707","409"
"Nora","Nora kommun","6653","605"
"Flen","Flens kommun","6577","439"
"Södra Sandby","Lunds kommun","6572","446"
"Haparanda","Haparanda kommun","6554","596"
"Surte","Ale kommun","6490","373"
"Rydebäck","Helsingborgs kommun","6480","310"
"Åsa","Kungsbacka kommun","6479","906"
"Forshaga","Forshaga kommun","6448","548"
"Surahammar","Surahammars kommun","6404","489"
"Leksand","Leksands kommun","6401","942"
"Ytterby","Kungälvs kommun","6384","387"
"Gnesta","Gnesta kommun","6376","393"
"Storvreta","Uppsala kommun","6360","313"
"Hjo","Hjo kommun","6357","501"
"Åkarp","Burlövs kommun","6324","264"
"Tierp","Tierps kommun","6260","444"
"Filipstad","Filipstads kommun","6248","599"
"Hofors","Hofors kommun","6200","632"
"Älvängen","Ale kommun","6163","488"
"Järna","Södertälje kommun","6153","390"
"Perstorp","Perstorps kommun","6091","576"
"Färjestaden","Mörbylånga kommun","6073","672"
"Holmsund","Umeå kommun","6046","775"
"Lindsdal","Kalmar kommun","5977","406"
"Kungsör","Kungsörs kommun","5913","436"
"Vi","Sundsvalls kommun","5862","636"
"Fristad","Borås kommun","5833","762"
"Vårgårda","Vårgårda kommun","5825","514"
"Ödåkra","Helsingborgs kommun","5807","334"
"Orsa","Orsa kommun","5793","1655"
"Påarp","Helsingborgs kommun","5752","397"
"Mullsjö","Mullsjö kommun","5749","540"
"Vadstena","Vadstena kommun","5714","368"
"Båstad","Båstads kommun","5699","870"
"Hultsfred","Hultsfreds kommun","5675","566"
"Sävsjö","Sävsjö kommun","5605","473"
"Hjärup","Staffanstorps kommun","5591","220"
"Veberöd","Lunds kommun","5573","409"
"Vaggeryd","Vaggeryds kommun","5556","515"
"Örkelljunga","Örkelljunga kommun","5515","785"
"Skåre","Karlstads kommun","5443","419"
"Rättvik","Rättviks kommun","5322","1234"
"Smedjebacken","Smedjebackens kommun","5235","826"
"Rimbo","Norrtälje kommun","5223","348"
"Anderstorp","Gislaveds kommun","5202","638"
"Lindö","Norrköpings kommun","5198","314"
"Mönsterås","Mönsterås kommun","5165","500"
"Skiftinge","Eskilstuna kommun","5146","199"
"Kvissleby","Sundsvalls kommun","5145","608"
"Krokek","Norrköpings kommun","5139","579"
"Vaxholm","Vaxholms kommun","5135","179"
"Markaryd","Markaryds kommun","5123","697"
"Sunne","Sunne kommun","5106","523"
"Götene","Götene kommun","5078","468"
"Alsike","Knivsta kommun","5057","338"
"Emmaboda","Emmaboda kommun","5054","588"
"Grums","Grums kommun","5037","512"
"Älvsbyn","Älvsbyns kommun","5034","663"
"Malung","Malung-Sälens kommun","5014","1045"
"Vargön","Vänersborgs kommun","5000","401"
"Östhammar","Östhammars kommun","4977","488"
"Malmslätt","Linköpings kommun","4963","273"
"Kummelnäs","Nacka kommun","4869","611"
"Kallinge","Ronneby kommun","4841","523"
"Tyringe","Hässleholms kommun","4838","434"
"Gammelstaden","Luleå kommun","4836","552"
"Arnö","Nyköpings kommun","4804","247"
"Hallstavik","Norrtälje kommun","4784","511"
"Öjersjö","Partille kommun","4765","267"
"Vingåker","Vingåkers kommun","4741","413"
"Hagfors","Hagfors kommun","4736","635"
"Töreboda","Töreboda kommun","4723","409"
"Säter","Säters kommun","4721","479"
"Furulund","Kävlinge kommun","4669","277"
"Hittarp","Helsingborgs kommun","4628","234"
"Viken","Höganäs kommun","4606","302"
"Vännäs","Vännäs kommun","4567","410"
"Smålandsstenar","Gislaveds kommun","4560","527"
"Bollebygd","Bollebygds kommun","4559","341"
"Taberg","Jönköpings kommun","4507","390"
"Norberg","Norbergs kommun","4487","677"
"Gnosjö","Gnosjö kommun","4472","534"
